Date,H12,K12,N12,U12,Z12,H13,K13,N13,U13,Z13,H14,K14,N14,U14,Z14,H15,K15,N15,U15,Z15,H16,K16,N16,U16,Z16,H17,K17,N17,U7,Z7,H8,K8,N8,U8,Z8
9/15/2011,714.75,722.75,726,672.5,632,641,646.5,650.5,609,581,0,0,600,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/2011,705.5,713.5,717,663,626,634.5,639.5,643.5,605,578,0,0,597,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/2011,705,713,716.25,657.75,617.75,626,631,635,598.75,571.75,0,0,590.75,0,574.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/2011,703,710.5,714.25,655.75,619.75,627.75,632.75,636.25,601.75,574.75,0,0,593.75,0,576.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/2011,698.75,706.25,709.5,648,620.25,628.5,633.5,637.5,598.25,578.25,0,0,598.25,0,580.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/22/2011,663,670.75,674.25,617.5,589.5,600.5,607,612.5,583.5,557.5,0,0,580.5,0,562.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/23/2011,652,659.5,663.5,608.5,578.5,589,595.5,600.5,573,546.5,0,0,567.5,0,551.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/2011,661.25,668.75,672.75,617.5,589.5,599.5,606,611,579,553,0,0,574,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/2011,665.75,673.25,678,625.75,600.25,610.75,616.75,621.75,593.25,567.25,0,0,589.25,0,572.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2011,644,651.75,656.5,608,581.25,592,598.5,603.5,577.25,552.25,0,0,574.25,0,558.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/29/2011,645.75,653.25,658.5,612,583.5,594.5,601,606,581.5,558.5,0,0,579.5,0,564.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2011,605.75,613.5,619.25,586.5,565.75,577.25,584.25,589.25,567.25,550.25,0,0,571.25,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/3/2011,606,613.75,619.25,590.5,562.5,574,581.25,586.5,570.5,550.5,0,0,571.5,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2011,600.75,608.5,613.75,584.75,560.75,572.25,579.25,584.25,564.75,549.75,0,0,570.75,0,558.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/2011,618.25,626,630.75,599.25,573.25,584.75,591.75,596.75,577,560,0,0,581,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/6/2011,618.25,625.5,630,599.25,575,586.5,593.5,598.5,579,562,0,0,583,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2011,612.75,620.25,624.25,593.25,568,579.5,586.5,591.5,573,556,0,0,577.5,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2011,617.5,624.75,629.25,597.25,572.25,583.75,590.75,595.75,577.25,561.25,0,0,583.25,0,568.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2011,657.5,664.75,669.25,629.25,600.75,612.25,619.25,624.25,603.25,585,0,0,607,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2011,652.75,660,664.25,621.75,596.25,607.75,614.75,619.75,598.25,580.25,0,0,602.25,0,588.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2011,649.75,656.5,661.25,621.75,594.75,606.25,613.25,618.25,595.75,577.75,0,0,599.75,0,584.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/14/2011,651.5,658.75,663.25,623.25,601.5,612.25,619,623.25,603.5,585.5,0,0,606.5,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17/2011,651.25,658,662.25,620.75,603.25,613.75,620.25,624.75,602.25,583.25,0,0,604.25,0,588.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18/2011,652.75,658.25,662.25,618.75,598.75,610,616.75,621.5,597.75,578.75,0,0,599.75,0,585.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/19/2011,648.5,654.25,658.25,616.5,593.5,604.75,611.5,616.5,592.5,573.5,0,0,594.5,0,582.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/20/2011,659.25,664.5,668.75,624.5,600.25,610.75,617.75,623.25,598.25,579.25,0,0,600.25,0,588.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2011,660,665.5,670,625.25,603.25,614,620.75,625.75,597.25,580.25,0,0,601.5,0,588.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/24/2011,662.25,668,671.75,627.5,605.5,616,622.5,627,598.5,582.5,0,0,603.75,0,590.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/25/2011,662.25,667.75,671.25,629.75,608.5,619,625.5,630,601.5,585.5,0,0,606,0,592.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/26/2011,649.5,655.25,658.75,618.25,600.5,611.25,617.75,622.25,596.5,580.5,0,0,600.5,0,587.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/27/2011,663.5,668.75,671.75,632.25,613.25,623.25,629.5,633.75,606.75,590.25,0,0,610.25,0,598.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/28/2011,667,673.25,677.25,634.5,616,626,632.25,636.25,608,593,0,0,613,0,599.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/2011,659,665,669,626,607.5,617.75,623.75,628,595.5,584.5,0,0,604.5,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1/2011,665.25,670,673.5,630.75,607,617,623,627.25,599,587,0,0,607,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2011,656,662,666,624.5,605.5,616,622.5,627,599.5,587.5,0,0,608,0,595.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/3/2011,663.75,669.5,675.25,631.75,611.25,621.75,627.75,632.25,603.75,592.25,0,0,612.75,0,600.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/4/2011,666.25,673.25,678.25,633.75,612.75,623.25,629.25,633.75,604.25,591.25,0,0,611.75,0,599.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/7/2011,665.25,672.75,676.75,633.75,612,623,629.5,634,604.5,593.5,0,0,615,0,601.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/8/2011,671,678.25,681.25,636.25,614.25,624.75,631.5,636.25,601.25,590.25,0,0,611.75,0,597.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/9/2011,665,671.75,674,623.5,596.5,608,615,620,588.5,577.5,0,0,599,0,585.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10/2011,654.75,661.75,663.5,608.5,582.5,594,601.25,606.25,582.5,571.5,0,0,593,0,579.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2011,647.75,654.5,656.25,603.25,574,585.25,592.75,597.25,573,564,0,0,585.5,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/14/2011,643.25,649.25,651.25,600,573,584,591,595.5,573,561,0,0,582,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/2011,654.75,660.5,663,608.5,583.5,594.25,601,605.75,582.5,570.5,0,0,591.5,0,577.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/16/2011,652,658,660.5,607.75,581.25,592.25,598.75,604,580.25,568.25,0,0,589.25,0,575.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
